# Time-averaged data for fix fheat
# TimeStep f_bbot f_btop
91500 -11.4086 14.5788
91600 -11.9248 14.4139
91700 -11.4405 14.2733
91800 -10.9783 13.6571
91900 -12.4205 14.1505
92000 -12.6413 14.9818
92100 -12.9758 13.3079
92200 -12.2837 14.7093
92300 -13.0481 14.9406
92400 -13.6615 15.1796
92500 -13.6876 14.9134
92600 -13.5913 14.5199
92700 -12.1606 14.9131
92800 -11.7391 15.6077
92900 -13.0649 15.0512
93000 -11.7981 14.497
93100 -12.5069 15.3555
93200 -12.5886 15.5871
93300 -12.6884 14.1523
93400 -13.3359 13.8578
93500 -13.5255 14.1866
93600 -13.5975 14.1844
93700 -12.7559 14.3905
93800 -13.6265 13.4716
93900 -13.2355 13.4693
94000 -12.9339 14.3368
94100 -13.1525 14.5931
94200 -12.2975 14.5428
94300 -11.9498 15.5728
94400 -12.3209 15.443
94500 -13.7182 15.3915
94600 -12.9586 14.7271
94700 -13.188 15.5436
94800 -12.925 15.4518
94900 -13.1387 14.2611
95000 -11.9123 14.6485
95100 -12.939 15.1392
95200 -12.4226 14.9571
95300 -12.2208 14.9272
95400 -13.4633 14.5071
95500 -13.4179 15.5291
95600 -13.916 16.2238
95700 -13.8377 15.7619
95800 -14.3718 15.7256
95900 -13.0756 15.1734
96000 -11.778 14.8693
96100 -12.424 15.014
96200 -13.3768 16.0598
96300 -14.0985 15.5174
96400 -13.3309 15.0307
96500 -14.4439 14.6287
96600 -14.5297 15.7973
96700 -15.0902 15.7071
96800 -14.6995 15.3103
96900 -12.9291 15.2832
97000 -12.9475 15.2622
97100 -13.9002 14.8835
97200 -13.9995 16.6462
97300 -13.5237 16.9312
97400 -14.1344 15.1594
97500 -13.9329 14.8386
97600 -13.9594 15.0277
97700 -12.8914 14.8307
97800 -13.0785 14.9595
97900 -13.5199 15.0282
98000 -12.0974 15.7108
98100 -12.0824 15.2966
98200 -13.7764 16.178
98300 -13.8519 16.2216
98400 -13.7732 14.9477
98500 -14.3399 15.1198
98600 -13.9063 15.8163
98700 -13.6788 17.0466
98800 -12.7208 14.9492
